duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,popularity_class
252000,0,0.586,0.33,1,-9.607,1,0.0389,0.933,8.66e-05,0.111,0.471,136.057,4,3
230731,1,0.633,0.475,7,-10.37,0,0.223,0.0217,0.0,0.0942,0.524,150.042,4,2
244053,0,0.79,0.606,4,-7.699,1,0.0519,0.014,0.00488,0.133,0.903,135.276,4,1
225120,0,0.415,0.978,2,-2.23,1,0.0545,7.06e-05,0.00358,0.194,0.33,92.889,4,2
193426,0,0.631,0.886,11,-4.879,0,0.0499,0.00879,0.0,0.0457,0.855,125.024,4,2
326413,0,0.524,0.852,11,-4.708,1,0.0298,0.0159,6.35e-06,0.112,0.635,92.748,4,2
148049,1,0.565,0.88,7,-6.724,1,0.347,0.171,0.0,0.265,0.89,83.252,3,2
187237,0,0.652,0.938,2,-3.256,0,0.0592,0.072,0.000695,0.0447,0.951,169.924,4,3
224853,0,0.607,0.536,10,-7.306,1,0.0305,0.386,0.0,0.102,0.434,147.986,4,4
170666,0,0.741,0.739,0,-6.5,1,0.0428,0.0499,0.0,0.391,0.696,125.956,4,4
232093,0,0.645,0.721,7,-5.222,0,0.0533,0.41,0.0,0.0816,0.748,145.954,3,3
328400,0,0.588,0.888,2,-6.039,1,0.03,0.0504,0.00773,0.159,0.317,128.012,4,2
228786,0,0.417,0.48,7,-5.553,1,0.0297,0.88,0.0,0.675,0.949,176.328,4,3
127634,1,0.709,0.779,11,-6.394,0,0.0759,0.0139,0.0,0.325,0.836,144.99,4,3
231562,0,0.799,0.929,0,-3.231,0,0.0668,0.253,0.000462,0.24,0.952,127.999,4,3
206693,0,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,4,4
198751,0,0.636,0.848,5,-5.752,1,0.047,0.407,0.00382,0.0696,0.958,108.637,4,2
185733,0,0.48,0.101,0,-11.186,1,0.0516,0.949,1.24e-05,0.109,0.345,111.087,4,1
78240,0,0.538,0.512,8,-8.697,1,0.0638,0.947,1.42e-05,0.273,0.855,52.751,4,1
248511,0,0.465,0.613,11,-6.424,1,0.0354,0.0176,0.0314,0.0735,0.372,114.989,4,2
229907,0,0.739,0.907,4,-3.839,1,0.0303,0.361,0.0,0.703,0.968,113.051,4,3
